scheme, group_size, exponent, proof_size, proving_time(s), verifying_time(s), verifier_number
ASC-CRS, 8, 3, 423, 0.004688, 0.002438
ASC-CRS, 16, 4, 488, 0.008837, 0.003601
ASC-CRS, 32, 5, 553, 0.017577, 0.005466
ASC-CRS, 64, 6, 618, 0.038237, 0.008790
ASC-CRS, 128, 7, 683, 0.085359, 0.015491
ASC-CRS, 256, 8, 748, 0.188975, 0.028032
ASC-CRS, 512, 9, 813, 0.413657, 0.050870
ASC-CRS, 1024, 10, 878, 0.902734, 0.100738
ASC-CRS, 9, 2, 422, 0.004351, 0.002553
ASC-CRS, 27, 3, 519, 0.011080, 0.004955
ASC-CRS, 81, 4, 616, 0.032643, 0.010198
ASC-CRS, 243, 5, 713, 0.115138, 0.026313
ASC-CRS, 729, 6, 810, 0.390152, 0.071212
ASC-CRS, 8, 3, 3591, 0.031048, 0.010888, 100
ASC-CRS, 16, 4, 3656, 0.043488, 0.012640, 100
ASC-CRS, 32, 5, 3721, 0.063165, 0.014889, 100
ASC-CRS, 64, 6, 3786, 0.092911, 0.018534, 100
ASC-CRS, 128, 7, 3851, 0.141613, 0.026623, 100
ASC-CRS, 256, 8, 3916, 0.300892, 0.040602, 100
ASC-CRS, 512, 9, 3981, 0.485293, 0.068065, 100
ASC-CRS, 1024, 10, 4046, 0.987855, 0.124253, 100
ASC-CRS, 8, 3, 6791, 0.058667, 0.019793, 200
ASC-CRS, 16, 4, 6856, 0.079467, 0.020780, 200
ASC-CRS, 32, 5, 6921, 0.105562, 0.023092, 200
ASC-CRS, 64, 6, 6986, 0.142681, 0.027011, 200
ASC-CRS, 128, 7, 7051, 0.204222, 0.034146, 200
ASC-CRS, 256, 8, 7116, 0.336286, 0.052107, 200
ASC-CRS, 512, 9, 7181, 0.583823, 0.077657, 200
ASC-CRS, 1024, 10, 7246, 1.110028, 0.138064, 200
ASC-CRS, 8, 3, 9991, 0.088505, 0.029225, 300
ASC-CRS, 16, 4, 10056, 0.119565, 0.030171, 300
ASC-CRS, 32, 5, 10121, 0.153304, 0.031457, 300
ASC-CRS, 64, 6, 10186, 0.202809, 0.036332, 300
ASC-CRS, 128, 7, 10251, 0.271726, 0.043952, 300
ASC-CRS, 256, 8, 10316, 0.406779, 0.057049, 300
ASC-CRS, 512, 9, 10381, 0.667376, 0.087753, 300
ASC-CRS, 1024, 10, 10446, 1.186785, 0.144414, 300
ASC-CRS, 8, 3, 13191, 0.116265, 0.036457, 400
ASC-CRS, 16, 4, 13256, 0.151896, 0.039563, 400
ASC-CRS, 32, 5, 13321, 0.194151, 0.039258, 400
ASC-CRS, 64, 6, 13386, 0.246277, 0.043244, 400
ASC-CRS, 128, 7, 13451, 0.323492, 0.050264, 400
ASC-CRS, 256, 8, 13516, 0.457561, 0.064957, 400
ASC-CRS, 512, 9, 13581, 0.709762, 0.091684, 400
ASC-CRS, 1024, 10, 13646, 1.321284, 0.154733, 400
ASC-CRS, 9, 2, 3590, 0.022911, 0.011524, 100
ASC-CRS, 27, 3, 3687, 0.039283, 0.013997, 100
ASC-CRS, 81, 4, 3784, 0.070646, 0.020651, 100
ASC-CRS, 243, 5, 3881, 0.161970, 0.039082, 100
ASC-CRS, 729, 6, 3978, 0.460978, 0.093379, 100
ASC-CRS, 9, 2, 6790, 0.041495, 0.020002, 200
ASC-CRS, 27, 3, 6887, 0.066414, 0.022803, 200
ASC-CRS, 81, 4, 6984, 0.122726, 0.028113, 200
ASC-CRS, 243, 5, 7081, 0.201125, 0.048098, 200
ASC-CRS, 729, 6, 7178, 0.519772, 0.103676, 200
ASC-CRS, 9, 2, 9990, 0.062457, 0.028730, 300
ASC-CRS, 27, 3, 10087, 0.095094, 0.033110, 300
ASC-CRS, 81, 4, 10184, 0.144126, 0.037938, 300
ASC-CRS, 243, 5, 10281, 0.253677, 0.056898, 300
ASC-CRS, 729, 6, 10378, 0.567655, 0.111493, 300
ASC-CRS, 9, 2, 13190, 0.079118, 0.035931, 400
ASC-CRS, 27, 3, 13287, 0.119349, 0.039566, 400
ASC-CRS, 81, 4, 13384, 0.177277, 0.044715, 400
ASC-CRS, 243, 5, 13481, 0.287733, 0.062454, 400
ASC-CRS, 729, 6, 13578, 0.602163, 0.118640, 400
